SMILES,ID,CDK12 IC50,pValue,,,,,,, pValue
ClCC(=O)NC1=CC=CC(=C1)C(=O)N1CCC(C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS156359,0.0152162,7.817693792,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1=CC=C(NC(=O)C=C)C=C1)C1=CC2=C(C=CN=C2N1)C1=CNC2=C1C=CC=C2,ADS157046,0.068477125,7.164454482,,,,,,,
O=C(NC1=CC=CC(=C1)C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C#C,ADS157060,0.03288,7.483068191,,,,,,,
O=C(NC1=CC=C(C=C1)C(=O)N1CCC(C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1)C#C,ADS157061,0.02548035,7.593794611,,,,,,,
CN1N=C(C=C1NC(=O)NC1=CC=C(OC2=CC=NC3=C2C=CN3)C=C1)C(C)(C)C,ADS157142,1.80E-01,6.744727495,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1CCN(CC1)C(=O)C=C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157164,0.09046575,7.043515812,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1CCN(CC1)C(=O)C#C)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157165,0.0053973,8.267823442,,,,,,,
NC1=CC(=CC=C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157193,0.0128834,7.889969509,,,,,,,
C=CC(=O)NC1=CC=C(C=C1)C(=O)NC1=CC(=CC=C1)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157194,0.0286414,7.543005757,,,,,,,
[H][C@]1(CCN(C1)C(=O)OC(C)(C)C)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157195,0.1929506,6.714553867,,,,,,,
[H][C@@]1(CCN(C1)C(=O)OC(C)(C)C)C1=CC2=C(N1)N=CC=C2C1=C2C=CC=NN2N=C1,ADS157196,0.1380518,6.859957926,,,,,,,
[H][C@]1(CCN(C1)C(=O)C1=CC=C(NC(=O)C=C)C=C1)C1=CC2=C(C=CN=C2N1)C1=C2C=CC=NN2N=C1,ADS157347,0.0119443,7.922839297,,,,,,,
